Generated by http://opendatacommunities.org,2025-01-02T20:18:05+00:00
http://opendatacommunities.org/data/societal-wellbeing/imd/indicesbyla,English Indices of Deprivation 2015 - Summaries at Local Authority Level
Indices of Deprivation,a. Index of Multiple Deprivation (IMD)
measure type,Average Score
Measure (cell values): ,Average Score

,,http://reference.data.gov.uk/id/year/2015
http://opendatacommunities.org/def/ontology/geography/refArea,Reference area,2015
http://opendatacommunities.org/id/geography/administration/ua/E06000022,Bath and North East Somerset,12.094
http://opendatacommunities.org/id/geography/administration/ua/E06000055,Bedford,19.238
http://opendatacommunities.org/id/geography/administration/ua/E06000008,Blackburn with Darwen,34.189
http://opendatacommunities.org/id/geography/administration/ua/E06000009,Blackpool,41.997
http://opendatacommunities.org/id/geography/administration/ua/E06000028,Bournemouth,21.847
http://opendatacommunities.org/id/geography/administration/ua/E06000036,Bracknell Forest,10.462
http://opendatacommunities.org/id/geography/administration/ua/E06000043,Brighton and Hove,23.441
http://opendatacommunities.org/id/geography/administration/ua/E06000023,"Bristol, City of",27.161
http://opendatacommunities.org/id/geography/administration/ua/E06000056,Central Bedfordshire,12.201
http://opendatacommunities.org/id/geography/administration/ua/E06000049,Cheshire East,14.132
http://opendatacommunities.org/id/geography/administration/ua/E06000050,Cheshire West and Chester,18.086
http://opendatacommunities.org/id/geography/administration/ua/E06000052,Cornwall,23.833
http://opendatacommunities.org/id/geography/administration/ua/E06000047,County Durham,25.741
http://opendatacommunities.org/id/geography/administration/ua/E06000005,Darlington,23.639
http://opendatacommunities.org/id/geography/administration/ua/E06000015,Derby,27.79
http://opendatacommunities.org/id/geography/administration/ua/E06000011,East Riding of Yorkshire,15.792
http://opendatacommunities.org/id/geography/administration/ua/E06000006,Halton,31.943
http://opendatacommunities.org/id/geography/administration/ua/E06000001,Hartlepool,33.178
http://opendatacommunities.org/id/geography/administration/ua/E06000019,"Herefordshire, County of",19.737
http://opendatacommunities.org/id/geography/administration/ua/E06000046,Isle of Wight,23.087
http://opendatacommunities.org/id/geography/administration/ua/E06000053,Isles of Scilly,12.013
http://opendatacommunities.org/id/geography/administration/ua/E06000010,"Kingston upon Hull, City of",41.235
http://opendatacommunities.org/id/geography/administration/ua/E06000016,Leicester,33.065
http://opendatacommunities.org/id/geography/administration/ua/E06000032,Luton,27.577
http://opendatacommunities.org/id/geography/administration/ua/E06000035,Medway,22.332
http://opendatacommunities.org/id/geography/administration/ua/E06000002,Middlesbrough,40.216
http://opendatacommunities.org/id/geography/administration/ua/E06000042,Milton Keynes,18.029
http://opendatacommunities.org/id/geography/administration/ua/E06000012,North East Lincolnshire,30.898
http://opendatacommunities.org/id/geography/administration/ua/E06000013,North Lincolnshire,21.363
http://opendatacommunities.org/id/geography/administration/ua/E06000024,North Somerset,15.783
http://opendatacommunities.org/id/geography/administration/ua/E06000057,Northumberland,20.525
http://opendatacommunities.org/id/geography/administration/ua/E06000018,Nottingham,36.927
http://opendatacommunities.org/id/geography/administration/ua/E06000031,Peterborough,27.659
http://opendatacommunities.org/id/geography/administration/ua/E06000026,Plymouth,26.643
http://opendatacommunities.org/id/geography/administration/ua/E06000029,Poole,15.219
http://opendatacommunities.org/id/geography/administration/ua/E06000044,Portsmouth,27.054
http://opendatacommunities.org/id/geography/administration/ua/E06000038,Reading,19.319
http://opendatacommunities.org/id/geography/administration/ua/E06000003,Redcar and Cleveland,28.567
http://opendatacommunities.org/id/geography/administration/ua/E06000017,Rutland,9.621
http://opendatacommunities.org/id/geography/administration/ua/E06000051,Shropshire,16.689
http://opendatacommunities.org/id/geography/administration/ua/E06000039,Slough,22.873
http://opendatacommunities.org/id/geography/administration/ua/E06000025,South Gloucestershire,11.358
http://opendatacommunities.org/id/geography/administration/ua/E06000045,Southampton,26.878
http://opendatacommunities.org/id/geography/administration/ua/E06000033,Southend-on-Sea,24.516
http://opendatacommunities.org/id/geography/administration/ua/E06000004,Stockton-on-Tees,24.625
http://opendatacommunities.org/id/geography/administration/ua/E06000021,Stoke-on-Trent,34.36
http://opendatacommunities.org/id/geography/administration/ua/E06000030,Swindon,17.857
http://opendatacommunities.org/id/geography/administration/ua/E06000020,Telford and Wrekin,24.852
http://opendatacommunities.org/id/geography/administration/ua/E06000034,Thurrock,21.603
http://opendatacommunities.org/id/geography/administration/ua/E06000027,Torbay,28.788
http://opendatacommunities.org/id/geography/administration/ua/E06000007,Warrington,19.312
http://opendatacommunities.org/id/geography/administration/ua/E06000037,West Berkshire,10.242
http://opendatacommunities.org/id/geography/administration/ua/E06000054,Wiltshire,13.466
http://opendatacommunities.org/id/geography/administration/ua/E06000040,Windsor and Maidenhead,8.857
http://opendatacommunities.org/id/geography/administration/ua/E06000041,Wokingham,5.652
http://opendatacommunities.org/id/geography/administration/ua/E06000014,York,12.219
http://opendatacommunities.org/id/geography/administration/nmd/E07000223,Adur,18.275
http://opendatacommunities.org/id/geography/administration/nmd/E07000026,Allerdale,22.55
http://opendatacommunities.org/id/geography/administration/nmd/E07000032,Amber Valley,18.116
http://opendatacommunities.org/id/geography/administration/nmd/E07000224,Arun,17.671
http://opendatacommunities.org/id/geography/administration/nmd/E07000170,Ashfield,25.416
http://opendatacommunities.org/id/geography/administration/nmd/E07000105,Ashford,17.333
http://opendatacommunities.org/id/geography/administration/nmd/E07000004,Aylesbury Vale,11.175
http://opendatacommunities.org/id/geography/administration/nmd/E07000200,Babergh,15.148
http://opendatacommunities.org/id/geography/administration/lonb/E09000002,Barking and Dagenham,34.635
http://opendatacommunities.org/id/geography/administration/lonb/E09000003,Barnet,17.813
http://opendatacommunities.org/id/geography/administration/md/E08000016,Barnsley,29.568
http://opendatacommunities.org/id/geography/administration/nmd/E07000027,Barrow-in-Furness,31.4
http://opendatacommunities.org/id/geography/administration/nmd/E07000066,Basildon,23.618
http://opendatacommunities.org/id/geography/administration/nmd/E07000084,Basingstoke and Deane,11.496
http://opendatacommunities.org/id/geography/administration/nmd/E07000171,Bassetlaw,22.729
http://opendatacommunities.org/id/geography/administration/lonb/E09000004,Bexley,16.17
http://opendatacommunities.org/id/geography/administration/md/E08000025,Birmingham,37.768
http://opendatacommunities.org/id/geography/administration/nmd/E07000129,Blaby,10.374
http://opendatacommunities.org/id/geography/administration/nmd/E07000033,Bolsover,24.778
http://opendatacommunities.org/id/geography/administration/md/E08000001,Bolton,28.42
http://opendatacommunities.org/id/geography/administration/nmd/E07000136,Boston,24.367
http://opendatacommunities.org/id/geography/administration/md/E08000032,Bradford,33.168
http://opendatacommunities.org/id/geography/administration/nmd/E07000067,Braintree,15.313
http://opendatacommunities.org/id/geography/administration/nmd/E07000143,Breckland,19.789
http://opendatacommunities.org/id/geography/administration/lonb/E09000005,Brent,26.655
http://opendatacommunities.org/id/geography/administration/nmd/E07000068,Brentwood,9.881
http://opendatacommunities.org/id/geography/administration/nmd/E07000144,Broadland,11.065
http://opendatacommunities.org/id/geography/administration/lonb/E09000006,Bromley,15.164
http://opendatacommunities.org/id/geography/administration/nmd/E07000234,Bromsgrove,11.071
http://opendatacommunities.org/id/geography/administration/nmd/E07000095,Broxbourne,17.294
http://opendatacommunities.org/id/geography/administration/nmd/E07000172,Broxtowe,14.306
http://opendatacommunities.org/id/geography/administration/nmd/E07000117,Burnley,36.05
http://opendatacommunities.org/id/geography/administration/md/E08000002,Bury,21.769
http://opendatacommunities.org/id/geography/administration/md/E08000033,Calderdale,24.607
http://opendatacommunities.org/id/geography/administration/nmd/E07000008,Cambridge,13.75
http://opendatacommunities.org/id/geography/administration/lonb/E09000007,Camden,24.959
http://opendatacommunities.org/id/geography/administration/nmd/E07000192,Cannock Chase,20.931
http://opendatacommunities.org/id/geography/administration/nmd/E07000106,Canterbury,16.876
http://opendatacommunities.org/id/geography/administration/nmd/E07000028,Carlisle,22.482
http://opendatacommunities.org/id/geography/administration/nmd/E07000069,Castle Point,16.632
http://opendatacommunities.org/id/geography/administration/nmd/E07000130,Charnwood,13.729
http://opendatacommunities.org/id/geography/administration/nmd/E07000070,Chelmsford,12.413
http://opendatacommunities.org/id/geography/administration/nmd/E07000078,Cheltenham,15.071
http://opendatacommunities.org/id/geography/administration/nmd/E07000177,Cherwell,12.611
http://opendatacommunities.org/id/geography/administration/nmd/E07000034,Chesterfield,25.32
http://opendatacommunities.org/id/geography/administration/nmd/E07000225,Chichester,12.994
http://opendatacommunities.org/id/geography/administration/nmd/E07000005,Chiltern,6.719
http://opendatacommunities.org/id/geography/administration/nmd/E07000118,Chorley,17.41
http://opendatacommunities.org/id/geography/administration/nmd/E07000048,Christchurch,12.547
http://opendatacommunities.org/id/geography/administration/lonb/E09000001,City of London,13.602
http://opendatacommunities.org/id/geography/administration/nmd/E07000071,Colchester,16.941
http://opendatacommunities.org/id/geography/administration/nmd/E07000029,Copeland,25.949
http://opendatacommunities.org/id/geography/administration/nmd/E07000150,Corby,25.765
http://opendatacommunities.org/id/geography/administration/nmd/E07000079,Cotswold,11.176
http://opendatacommunities.org/id/geography/administration/md/E08000026,Coventry,28.107
http://opendatacommunities.org/id/geography/administration/nmd/E07000163,Craven,12.527
http://opendatacommunities.org/id/geography/administration/nmd/E07000226,Crawley,17.833
http://opendatacommunities.org/id/geography/administration/lonb/E09000008,Croydon,23.643
http://opendatacommunities.org/id/geography/administration/nmd/E07000096,Dacorum,12.174
http://opendatacommunities.org/id/geography/administration/nmd/E07000107,Dartford,17.845
http://opendatacommunities.org/id/geography/administration/nmd/E07000151,Daventry,13.502
http://opendatacommunities.org/id/geography/administration/nmd/E07000035,Derbyshire Dales,12.261
http://opendatacommunities.org/id/geography/administration/md/E08000017,Doncaster,29.051
http://opendatacommunities.org/id/geography/administration/nmd/E07000108,Dover,21.589
http://opendatacommunities.org/id/geography/administration/md/E08000027,Dudley,22.958
http://opendatacommunities.org/id/geography/administration/lonb/E09000009,Ealing,23.585
http://opendatacommunities.org/id/geography/administration/nmd/E07000009,East Cambridgeshire,12.108
http://opendatacommunities.org/id/geography/administration/nmd/E07000040,East Devon,12.698
http://opendatacommunities.org/id/geography/administration/nmd/E07000049,East Dorset,9.311
http://opendatacommunities.org/id/geography/administration/nmd/E07000085,East Hampshire,8.609
http://opendatacommunities.org/id/geography/administration/nmd/E07000242,East Hertfordshire,8.136
http://opendatacommunities.org/id/geography/administration/nmd/E07000137,East Lindsey,28.855
http://opendatacommunities.org/id/geography/administration/nmd/E07000152,East Northamptonshire,14.154
http://opendatacommunities.org/id/geography/administration/nmd/E07000193,East Staffordshire,18.817
http://opendatacommunities.org/id/geography/administration/nmd/E07000061,Eastbourne,21.322
http://opendatacommunities.org/id/geography/administration/nmd/E07000086,Eastleigh,10.015
http://opendatacommunities.org/id/geography/administration/nmd/E07000030,Eden,15.411
http://opendatacommunities.org/id/geography/administration/nmd/E07000207,Elmbridge,7.527
http://opendatacommunities.org/id/geography/administration/lonb/E09000010,Enfield,26.994
http://opendatacommunities.org/id/geography/administration/nmd/E07000072,Epping Forest,15.263
http://opendatacommunities.org/id/geography/administration/nmd/E07000208,Epsom and Ewell,8.544
http://opendatacommunities.org/id/geography/administration/nmd/E07000036,Erewash,19.912
http://opendatacommunities.org/id/geography/administration/nmd/E07000041,Exeter,18.212
http://opendatacommunities.org/id/geography/administration/nmd/E07000087,Fareham,8.454
http://opendatacommunities.org/id/geography/administration/nmd/E07000010,Fenland,25.362
http://opendatacommunities.org/id/geography/administration/nmd/E07000112,Folkestone and Hythe,22.821
http://opendatacommunities.org/id/geography/administration/nmd/E07000201,Forest Heath,18.016
http://opendatacommunities.org/id/geography/administration/nmd/E07000080,Forest of Dean,16.991
http://opendatacommunities.org/id/geography/administration/nmd/E07000119,Fylde,14.375
http://opendatacommunities.org/id/geography/administration/md/E08000037,Gateshead,25.932
http://opendatacommunities.org/id/geography/administration/nmd/E07000173,Gedling,15.272
http://opendatacommunities.org/id/geography/administration/nmd/E07000081,Gloucester,21.999
http://opendatacommunities.org/id/geography/administration/nmd/E07000088,Gosport,20.613
http://opendatacommunities.org/id/geography/administration/nmd/E07000109,Gravesham,21.684
http://opendatacommunities.org/id/geography/administration/nmd/E07000145,Great Yarmouth,32.369
http://opendatacommunities.org/id/geography/administration/lonb/E09000011,Greenwich,25.544
http://opendatacommunities.org/id/geography/administration/nmd/E07000209,Guildford,9.392
http://opendatacommunities.org/id/geography/administration/lonb/E09000012,Hackney,35.28
http://opendatacommunities.org/id/geography/administration/nmd/E07000164,Hambleton,12.67
http://opendatacommunities.org/id/geography/administration/lonb/E09000013,Hammersmith and Fulham,24.362
http://opendatacommunities.org/id/geography/administration/nmd/E07000131,Harborough,8.324
http://opendatacommunities.org/id/geography/administration/lonb/E09000014,Haringey,31.043
http://opendatacommunities.org/id/geography/administration/nmd/E07000073,Harlow,23.558
http://opendatacommunities.org/id/geography/administration/nmd/E07000165,Harrogate,10.373
http://opendatacommunities.org/id/geography/administration/lonb/E09000015,Harrow,14.302
http://opendatacommunities.org/id/geography/administration/nmd/E07000089,Hart,5.009
http://opendatacommunities.org/id/geography/administration/nmd/E07000062,Hastings,33.114
http://opendatacommunities.org/id/geography/administration/nmd/E07000090,Havant,21.166
http://opendatacommunities.org/id/geography/administration/lonb/E09000016,Havering,17.876
http://opendatacommunities.org/id/geography/administration/nmd/E07000098,Hertsmere,12.913
http://opendatacommunities.org/id/geography/administration/nmd/E07000037,High Peak,16.091
http://opendatacommunities.org/id/geography/administration/lonb/E09000017,Hillingdon,18.108
http://opendatacommunities.org/id/geography/administration/nmd/E07000132,Hinckley and Bosworth,12.782
http://opendatacommunities.org/id/geography/administration/nmd/E07000227,Horsham,9.765
http://opendatacommunities.org/id/geography/administration/lonb/E09000018,Hounslow,22.469
http://opendatacommunities.org/id/geography/administration/nmd/E07000011,Huntingdonshire,11.791
http://opendatacommunities.org/id/geography/administration/nmd/E07000120,Hyndburn,32.102
http://opendatacommunities.org/id/geography/administration/nmd/E07000202,Ipswich,26.093
http://opendatacommunities.org/id/geography/administration/lonb/E09000019,Islington,32.534
http://opendatacommunities.org/id/geography/administration/lonb/E09000020,Kensington and Chelsea,23.376
http://opendatacommunities.org/id/geography/administration/nmd/E07000153,Kettering,18.927
http://opendatacommunities.org/id/geography/administration/nmd/E07000146,King's Lynn and West Norfolk,23.403
http://opendatacommunities.org/id/geography/administration/lonb/E09000021,Kingston upon Thames,11.125
http://opendatacommunities.org/id/geography/administration/md/E08000034,Kirklees,23.964
http://opendatacommunities.org/id/geography/administration/md/E08000011,Knowsley,41.387
http://opendatacommunities.org/id/geography/administration/lonb/E09000022,Lambeth,28.913
http://opendatacommunities.org/id/geography/administration/nmd/E07000121,Lancaster,23.321
http://opendatacommunities.org/id/geography/administration/md/E08000035,Leeds,26.623
http://opendatacommunities.org/id/geography/administration/nmd/E07000063,Lewes,15.074
http://opendatacommunities.org/id/geography/administration/lonb/E09000023,Lewisham,28.591
http://opendatacommunities.org/id/geography/administration/nmd/E07000194,Lichfield,12.709
http://opendatacommunities.org/id/geography/administration/nmd/E07000138,Lincoln,28.924
http://opendatacommunities.org/id/geography/administration/md/E08000012,Liverpool,41.126
http://opendatacommunities.org/id/geography/administration/nmd/E07000110,Maidstone,15.56
http://opendatacommunities.org/id/geography/administration/nmd/E07000074,Maldon,14.506
http://opendatacommunities.org/id/geography/administration/nmd/E07000235,Malvern Hills,16.067
http://opendatacommunities.org/id/geography/administration/md/E08000003,Manchester,40.512
http://opendatacommunities.org/id/geography/administration/nmd/E07000174,Mansfield,27.764
http://opendatacommunities.org/id/geography/administration/nmd/E07000133,Melton,13.119
http://opendatacommunities.org/id/geography/administration/nmd/E07000187,Mendip,17.204
http://opendatacommunities.org/id/geography/administration/lonb/E09000024,Merton,14.93
http://opendatacommunities.org/id/geography/administration/nmd/E07000042,Mid Devon,17.128
http://opendatacommunities.org/id/geography/administration/nmd/E07000203,Mid Suffolk,12.679
http://opendatacommunities.org/id/geography/administration/nmd/E07000228,Mid Sussex,7.615
http://opendatacommunities.org/id/geography/administration/nmd/E07000210,Mole Valley,8.87
http://opendatacommunities.org/id/geography/administration/nmd/E07000091,New Forest,12.44
http://opendatacommunities.org/id/geography/administration/nmd/E07000175,Newark and Sherwood,18.755
http://opendatacommunities.org/id/geography/administration/md/E08000021,Newcastle upon Tyne,28.264
http://opendatacommunities.org/id/geography/administration/nmd/E07000195,Newcastle-under-Lyme,18.472
http://opendatacommunities.org/id/geography/administration/lonb/E09000025,Newham,32.939
http://opendatacommunities.org/id/geography/administration/nmd/E07000043,North Devon,20.682
http://opendatacommunities.org/id/geography/administration/nmd/E07000050,North Dorset,13.886
http://opendatacommunities.org/id/geography/administration/nmd/E07000038,North East Derbyshire,16.843
http://opendatacommunities.org/id/geography/administration/nmd/E07000099,North Hertfordshire,11.616
http://opendatacommunities.org/id/geography/administration/nmd/E07000139,North Kesteven,11.58
http://opendatacommunities.org/id/geography/administration/nmd/E07000147,North Norfolk,21.343
http://opendatacommunities.org/id/geography/administration/md/E08000022,North Tyneside,21.279
http://opendatacommunities.org/id/geography/administration/nmd/E07000218,North Warwickshire,16.482
http://opendatacommunities.org/id/geography/administration/nmd/E07000134,North West Leicestershire,14.902
http://opendatacommunities.org/id/geography/administration/nmd/E07000154,Northampton,24.306
http://opendatacommunities.org/id/geography/administration/nmd/E07000148,Norwich,28.785
http://opendatacommunities.org/id/geography/administration/nmd/E07000219,Nuneaton and Bedworth,22.933
http://opendatacommunities.org/id/geography/administration/nmd/E07000135,Oadby and Wigston,13.132
http://opendatacommunities.org/id/geography/administration/md/E08000004,Oldham,30.291
http://opendatacommunities.org/id/geography/administration/nmd/E07000178,Oxford,17.946
http://opendatacommunities.org/id/geography/administration/nmd/E07000122,Pendle,29.62
http://opendatacommunities.org/id/geography/administration/nmd/E07000123,Preston,27.404
http://opendatacommunities.org/id/geography/administration/nmd/E07000051,Purbeck,13.803
http://opendatacommunities.org/id/geography/administration/lonb/E09000026,Redbridge,20.242
http://opendatacommunities.org/id/geography/administration/nmd/E07000236,Redditch,21.218
http://opendatacommunities.org/id/geography/administration/nmd/E07000211,Reigate and Banstead,10.344
http://opendatacommunities.org/id/geography/administration/nmd/E07000124,Ribble Valley,10.185
http://opendatacommunities.org/id/geography/administration/lonb/E09000027,Richmond upon Thames,10.037
http://opendatacommunities.org/id/geography/administration/nmd/E07000166,Richmondshire,13.349
http://opendatacommunities.org/id/geography/administration/md/E08000005,Rochdale,33.684
http://opendatacommunities.org/id/geography/administration/nmd/E07000075,Rochford,11.033
http://opendatacommunities.org/id/geography/administration/nmd/E07000125,Rossendale,23.155
http://opendatacommunities.org/id/geography/administration/nmd/E07000064,Rother,18.554
http://opendatacommunities.org/id/geography/administration/md/E08000018,Rotherham,28.279
http://opendatacommunities.org/id/geography/administration/nmd/E07000220,Rugby,13.051
http://opendatacommunities.org/id/geography/administration/nmd/E07000212,Runnymede,10.943
http://opendatacommunities.org/id/geography/administration/nmd/E07000176,Rushcliffe,7.702
http://opendatacommunities.org/id/geography/administration/nmd/E07000092,Rushmoor,15.135
http://opendatacommunities.org/id/geography/administration/nmd/E07000167,Ryedale,15.461
http://opendatacommunities.org/id/geography/administration/md/E08000006,Salford,32.959
http://opendatacommunities.org/id/geography/administration/md/E08000028,Sandwell,34.614
http://opendatacommunities.org/id/geography/administration/nmd/E07000168,Scarborough,25.235
http://opendatacommunities.org/id/geography/administration/nmd/E07000188,Sedgemoor,19.506
http://opendatacommunities.org/id/geography/administration/md/E08000014,Sefton,25.732
http://opendatacommunities.org/id/geography/administration/nmd/E07000169,Selby,12.86
http://opendatacommunities.org/id/geography/administration/nmd/E07000111,Sevenoaks,11.648
http://opendatacommunities.org/id/geography/administration/md/E08000019,Sheffield,27.568
http://opendatacommunities.org/id/geography/administration/md/E08000029,Solihull,17.238
http://opendatacommunities.org/id/geography/administration/nmd/E07000006,South Bucks,9.328
http://opendatacommunities.org/id/geography/administration/nmd/E07000012,South Cambridgeshire,8.053
http://opendatacommunities.org/id/geography/administration/nmd/E07000039,South Derbyshire,13.676
http://opendatacommunities.org/id/geography/administration/nmd/E07000044,South Hams,14.072
http://opendatacommunities.org/id/geography/administration/nmd/E07000140,South Holland,18.579
http://opendatacommunities.org/id/geography/administration/nmd/E07000141,South Kesteven,14.225
http://opendatacommunities.org/id/geography/administration/nmd/E07000031,South Lakeland,12.232
http://opendatacommunities.org/id/geography/administration/nmd/E07000149,South Norfolk,13.027
http://opendatacommunities.org/id/geography/administration/nmd/E07000155,South Northamptonshire,7.847
http://opendatacommunities.org/id/geography/administration/nmd/E07000179,South Oxfordshire,8.56
http://opendatacommunities.org/id/geography/administration/nmd/E07000126,South Ribble,13.702
http://opendatacommunities.org/id/geography/administration/nmd/E07000189,South Somerset,16.644
http://opendatacommunities.org/id/geography/administration/nmd/E07000196,South Staffordshire,12.453
http://opendatacommunities.org/id/geography/administration/md/E08000023,South Tyneside,30.608
http://opendatacommunities.org/id/geography/administration/lonb/E09000028,Southwark,29.489
http://opendatacommunities.org/id/geography/administration/nmd/E07000213,Spelthorne,13.189
http://opendatacommunities.org/id/geography/administration/nmd/E07000240,St Albans,7.668
http://opendatacommunities.org/id/geography/administration/nmd/E07000204,St Edmundsbury,15.271
http://opendatacommunities.org/id/geography/administration/md/E08000013,St. Helens,29.809
http://opendatacommunities.org/id/geography/administration/nmd/E07000197,Stafford,13.492
http://opendatacommunities.org/id/geography/administration/nmd/E07000198,Staffordshire Moorlands,15.217
http://opendatacommunities.org/id/geography/administration/nmd/E07000243,Stevenage,18.388
http://opendatacommunities.org/id/geography/administration/md/E08000007,Stockport,19.108
http://opendatacommunities.org/id/geography/administration/nmd/E07000221,Stratford-on-Avon,11.41
http://opendatacommunities.org/id/geography/administration/nmd/E07000082,Stroud,10.893
http://opendatacommunities.org/id/geography/administration/nmd/E07000205,Suffolk Coastal,13.073
http://opendatacommunities.org/id/geography/administration/md/E08000024,Sunderland,29.725
http://opendatacommunities.org/id/geography/administration/nmd/E07000214,Surrey Heath,7.731
http://opendatacommunities.org/id/geography/administration/lonb/E09000029,Sutton,14.579
http://opendatacommunities.org/id/geography/administration/nmd/E07000113,Swale,25.724
http://opendatacommunities.org/id/geography/administration/md/E08000008,Tameside,29.38
http://opendatacommunities.org/id/geography/administration/nmd/E07000199,Tamworth,20.251
http://opendatacommunities.org/id/geography/administration/nmd/E07000215,Tandridge,10.585
http://opendatacommunities.org/id/geography/administration/nmd/E07000190,Taunton Deane,16.514
http://opendatacommunities.org/id/geography/administration/nmd/E07000045,Teignbridge,16.525
http://opendatacommunities.org/id/geography/administration/nmd/E07000076,Tendring,28.445
http://opendatacommunities.org/id/geography/administration/nmd/E07000093,Test Valley,10.622
http://opendatacommunities.org/id/geography/administration/nmd/E07000083,Tewkesbury,12.08
http://opendatacommunities.org/id/geography/administration/nmd/E07000114,Thanet,31.619
http://opendatacommunities.org/id/geography/administration/nmd/E07000102,Three Rivers,9.98
http://opendatacommunities.org/id/geography/administration/nmd/E07000115,Tonbridge and Malling,11.344
http://opendatacommunities.org/id/geography/administration/nmd/E07000046,Torridge,23.201
http://opendatacommunities.org/id/geography/administration/lonb/E09000030,Tower Hamlets,35.657
http://opendatacommunities.org/id/geography/administration/md/E08000009,Trafford,15.388
http://opendatacommunities.org/id/geography/administration/nmd/E07000116,Tunbridge Wells,10.975
http://opendatacommunities.org/id/geography/administration/nmd/E07000077,Uttlesford,9.668
http://opendatacommunities.org/id/geography/administration/nmd/E07000180,Vale of White Horse,8.457
http://opendatacommunities.org/id/geography/administration/md/E08000036,Wakefield,26.892
http://opendatacommunities.org/id/geography/administration/md/E08000030,Walsall,30.37
http://opendatacommunities.org/id/geography/administration/lonb/E09000031,Waltham Forest,30.19
http://opendatacommunities.org/id/geography/administration/lonb/E09000032,Wandsworth,18.295
http://opendatacommunities.org/id/geography/administration/nmd/E07000222,Warwick,11.699
http://opendatacommunities.org/id/geography/administration/nmd/E07000103,Watford,15.723
http://opendatacommunities.org/id/geography/administration/nmd/E07000206,Waveney,25.135
http://opendatacommunities.org/id/geography/administration/nmd/E07000216,Waverley,7.068
http://opendatacommunities.org/id/geography/administration/nmd/E07000065,Wealden,11.23
http://opendatacommunities.org/id/geography/administration/nmd/E07000156,Wellingborough,21.742
http://opendatacommunities.org/id/geography/administration/nmd/E07000241,Welwyn Hatfield,12.875
http://opendatacommunities.org/id/geography/administration/nmd/E07000047,West Devon,17.846
http://opendatacommunities.org/id/geography/administration/nmd/E07000052,West Dorset,14.24
http://opendatacommunities.org/id/geography/administration/nmd/E07000127,West Lancashire,19.983
http://opendatacommunities.org/id/geography/administration/nmd/E07000142,West Lindsey,19.235
http://opendatacommunities.org/id/geography/administration/nmd/E07000181,West Oxfordshire,8.124
http://opendatacommunities.org/id/geography/administration/nmd/E07000191,West Somerset,23.293
http://opendatacommunities.org/id/geography/administration/lonb/E09000033,Westminster,27.686
http://opendatacommunities.org/id/geography/administration/nmd/E07000053,Weymouth and Portland,23.573
http://opendatacommunities.org/id/geography/administration/md/E08000010,Wigan,24.857
http://opendatacommunities.org/id/geography/administration/nmd/E07000094,Winchester,8.785
http://opendatacommunities.org/id/geography/administration/md/E08000015,Wirral,26.892
http://opendatacommunities.org/id/geography/administration/nmd/E07000217,Woking,9.875
http://opendatacommunities.org/id/geography/administration/md/E08000031,Wolverhampton,33.183
http://opendatacommunities.org/id/geography/administration/nmd/E07000237,Worcester,19.902
http://opendatacommunities.org/id/geography/administration/nmd/E07000229,Worthing,17.449
http://opendatacommunities.org/id/geography/administration/nmd/E07000238,Wychavon,16.001
http://opendatacommunities.org/id/geography/administration/nmd/E07000007,Wycombe,10.106
http://opendatacommunities.org/id/geography/administration/nmd/E07000128,Wyre,19.389
http://opendatacommunities.org/id/geography/administration/nmd/E07000239,Wyre Forest,22.066
